response,cv,region,identity,experience,date,ssyk1,vacancy,sent,ssyk
"",1,Göteborg,2,3,2018-04-26,3,2009,2018-04-25,3322
"",3,Göteborg,1,2,2018-04-26,3,2009,2018-04-26,3322
"",2,Göteborg,4,1,2018-04-26,3,2009,2018-04-29,3322
"",2,Göteborg,4,3,2018-05-16,4,1039,2018-05-15,4322
"",1,Göteborg,2,1,2018-05-16,4,1039,2018-05-16,4322
"",3,Göteborg,1,2,2018-05-16,4,1039,2018-05-17,4322
"",3,Göteborg,2,3,2018-08-24,5,1173,2018-08-23,5223
"",2,Göteborg,3,1,2018-08-24,5,1173,2018-08-26,5223
"",1,Göteborg,4,2,2018-08-24,5,1173,2018-08-27,5223
"",2,Göteborg,3,3,2018-05-16,5,504,2018-05-15,5321
"",1,Göteborg,4,2,2018-05-16,5,504,2018-05-16,5321
"",3,Göteborg,1,1,2018-05-16,5,504,2018-05-17,5321
"",1,Göteborg,3,3,2018-04-13,7,628,2018-04-12,7114
"",3,Göteborg,4,1,2018-04-13,7,628,2018-04-15,7114
"",2,Göteborg,2,2,2018-04-13,7,628,2018-04-16,7114
"",1,Göteborg,3,2,2018-05-02,9,3210,2018-05-01,9412
"",2,Göteborg,2,3,2018-05-02,9,3210,2018-05-02,9412
Ja,3,Göteborg,1,1,2018-05-02,9,3210,2018-05-03,9412
"",1,Göteborg,3,2,2018-10-29,9,621,2018-10-29,9411
"",2,Göteborg,2,3,2018-10-29,9,621,2018-10-30,9411
"",3,Göteborg,4,1,2018-10-29,9,621,2018-10-31,9411
"",2,Göteborg,3,2,2018-04-13,9,116,2018-04-12,9111
"",1,Göteborg,1,3,2018-04-13,9,116,2018-04-15,9111
"",3,Göteborg,2,1,2018-04-13,9,116,2018-04-16,9111
"",3,Göteborg,2,1,2018-05-18,2,2736,2018-05-17,2342
"",1,Göteborg,1,2,2018-05-18,2,2736,2018-05-20,2342
"",2,Göteborg,3,3,2018-05-18,2,2736,2018-05-21,2342
Nej,3,Göteborg,4,1,2018-03-26,4,501,2018-03-25,4211
Ja,2,Göteborg,2,3,2018-03-26,4,501,2018-03-26,4211
Nej,1,Göteborg,3,2,2018-03-26,4,501,2018-03-27,4211
"",2,Göteborg,4,1,2018-09-12,4,1764,2018-09-11,4322
"",1,Göteborg,1,3,2018-09-12,4,3055,2018-09-11,4322
"",1,Göteborg,3,3,2018-09-12,4,1764,2018-09-12,4322
"",3,Göteborg,3,2,2018-09-12,4,3055,2018-09-12,4322
"",3,Göteborg,2,2,2018-09-12,4,1764,2018-09-13,4322
"",2,Göteborg,2,1,2018-09-12,4,3055,2018-09-13,4322
"",3,Göteborg,1,1,2018-10-31,5,502,2018-10-31,5311
"",1,Göteborg,3,3,2018-10-31,5,502,2018-11-01,5311
"",2,Göteborg,4,2,2018-10-31,5,502,2018-11-02,5311
"",2,Göteborg,1,3,2018-03-28,5,202,2018-03-27,5132
"",1,Göteborg,2,1,2018-03-28,5,202,2018-03-28,5132
"",3,Göteborg,4,2,2018-03-28,5,202,2018-03-29,5132
"",3,Göteborg,3,1,2018-04-20,5,932,2018-04-19,5223
"",1,Göteborg,2,2,2018-04-20,5,932,2018-04-22,5223
"",2,Göteborg,1,3,2018-04-20,5,932,2018-04-23,5223
"",2,Göteborg,3,1,2018-08-29,5,199,2018-08-28,5321
Ja,1,Göteborg,3,1,2018-03-28,5,559,2018-03-27,5321
"",1,Göteborg,1,2,2018-08-29,5,199,2018-08-29,5321
Ja,3,Göteborg,4,2,2018-03-28,5,559,2018-03-28,5321
"",3,Göteborg,2,3,2018-08-29,5,199,2018-08-30,5321
Ja,2,Göteborg,1,3,2018-03-28,5,559,2018-03-29,5321
"",1,Göteborg,3,3,2018-08-22,5,1615,2018-08-21,5242
Nej,1,Göteborg,3,3,2018-08-29,5,2232,2018-08-28,5242
"",2,Göteborg,4,2,2018-08-22,5,1615,2018-08-22,5242
Nej,2,Göteborg,2,2,2018-08-29,5,2232,2018-08-29,5242
"",3,Göteborg,2,1,2018-08-22,5,1615,2018-08-23,5242
Nej,3,Göteborg,1,1,2018-08-29,5,2232,2018-08-30,5242
Intresserad,2,Göteborg,2,2,2018-03-26,5,170,2018-03-25,5343
"",1,Göteborg,4,3,2018-09-12,5,615,2018-09-11,5343
"",2,Göteborg,2,3,2018-08-24,5,1185,2018-08-23,5343
"",3,Göteborg,3,3,2018-03-26,5,1227,2018-03-25,5343
Ja,2,Göteborg,3,3,2018-08-08,5,3040,2018-08-07,5343
"",1,Göteborg,3,1,2018-03-26,5,170,2018-03-26,5343
"",2,Göteborg,2,1,2018-09-12,5,615,2018-09-12,5343
"",1,Göteborg,3,2,2018-08-24,5,1185,2018-08-26,5343
"",2,Göteborg,4,1,2018-03-26,5,1227,2018-03-26,5343
Ja,3,Göteborg,2,1,2018-08-08,5,3040,2018-08-08,5343
Ja,3,Göteborg,4,3,2018-03-26,5,170,2018-03-27,5343
"",3,Göteborg,3,2,2018-09-12,5,615,2018-09-13,5343
"",3,Göteborg,4,1,2018-08-24,5,1185,2018-08-27,5343
"",1,Göteborg,1,2,2018-03-26,5,1227,2018-03-27,5343
"",1,Göteborg,4,2,2018-08-08,5,3040,2018-08-09,5343
Ja,3,Göteborg,1,3,2018-08-29,5,1798,2018-08-28,5131
"",2,Göteborg,4,1,2018-08-29,5,1798,2018-08-29,5131
"",1,Göteborg,3,2,2018-08-29,5,1798,2018-08-30,5131
"",1,Göteborg,2,3,2018-03-26,5,1511,2018-03-25,5330
